park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result,2017_follow_up_sample_date,2017_epa_first_draw_result,2017_epa_first_draw_sample_date,follow_up_field_result,follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min,status,indoor_outdoor
GOMPERS (SAMUEL),Gompers  #4,pool deck,4222 W FOSTER AVE,7.49,2017-04-18,,,50.1,2017-06-30,,,,,24.1,62.0,10.0,Continuous flow - To be assessed for repair/replacement/removal,O
GOMPERS (SAMUEL),Gompers  #5 - High,"gompers monument, at foster and pulaski",4222 W FOSTER AVE,2.0,2017-04-19,,,,,,,,,0.431,,,Passed testing - returned to normal push-button operation,O
GOMPERS (SAMUEL),Gompers  #5 - Low,"gompers monument, at foster and pulaski",4222 W FOSTER AVE,2.0,2017-04-19,,,,,,,,,0.472,,,Passed testing - returned to normal push-button operation,O
GOMPERS (SAMUEL),Gompers  #6,"north of keeler parking lot, near tennis courts",4222 W FOSTER AVE,2.0,2017-04-19,,,,,,,,,0.988,,,Passed testing - returned to normal push-button operation,O
GOMPERS (SAMUEL),Gompers  #7,"on path, north of basketball court, south of the lagoon",4222 W FOSTER AVE,2.0,2017-04-19,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
GOMPERS (SAMUEL),Gompers  #8,"on path, southeast of casting pier",4222 W FOSTER AVE,2.0,2017-04-19,,,15.7,2017-06-30,,,,,39.8,65.0,2.0,Continuous flow - To be assessed for repair/replacement/removal,O
GOMPERS (SAMUEL),Gompers  #9,"on path, across lagoon from casting pier",4222 W FOSTER AVE,2.0,2017-04-19,,,8.81,2017-06-30,,,,,61.7,100.0,2.6,Passed testing - returned to normal push-button operation,O
GOOSEBERRY,Gooseberry  #1 - High,near entrance on malden,4648 N MALDEN ST,2.0,2017-05-15,,,,,,,,,60.0,,,In flushing protocol - 2017 EPA Test pending,O
GOOSEBERRY,Gooseberry  #1 - Low,near entrance on malden,4648 N MALDEN ST,2.07,2017-05-15,,,,,,,,,,,,In flushing protocol - 2017 EPA Test pending,O
GOUDY (WILLIAM) SQUARE,Goudy Square #1 - High,center of playground,1255 N ASTOR ST,2.0,2017-04-18,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GOUDY (WILLIAM) SQUARE,Goudy Square #1 - Middle,center of playground,1255 N ASTOR ST,2.0,2017-04-18,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GOUDY (WILLIAM) SQUARE,Goudy Square #1 - Low,center of playground,1255 N ASTOR ST,2.0,2017-04-18,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRAND,Grand  #1,near park entrance on grand,3531 W GRAND AVE,3.87,2017-04-07,,,36.0,2017-06-27,,,,,54.2,38.0,9.0,Continuous flow - To be assessed for repair/replacement/removal,O
GRAND CROSSING,Grand Crossing  #1,"east door to fieldhouse, by basketball court",7655 S INGLESIDE AVE,2.0,2017-04-20,,,,,,,,,2.43,,,Passed testing - returned to normal push-button operation,O
GRAND CROSSING,Grand Crossing  #2,northeast of parking lot,7655 S INGLESIDE AVE,2.0,2017-04-20,,,,,,,,,9.0,,,Passed testing - returned to normal push-button operation,O
GRAND CROSSING,Grand Crossing  #3,south of tennis courts,7655 S INGLESIDE AVE,2.0,2017-04-20,,,,,,,,,1.05,,,Passed testing - returned to normal push-button operation,O
GRAND CROSSING,Grand Crossing  #4,"between south baseball diamonds, in field, at 78th and ellis",7655 S INGLESIDE AVE,2.0,2017-04-20,,,,,,,,,9.75,,,Passed testing - returned to normal push-button operation,O
GRAND CROSSING,Grand Crossing  #5,1st baseline of nw diamond,7655 S INGLESIDE AVE,2.0,2017-04-20,,,,,,,,,6.74,,,Passed testing - returned to normal push-button operation,O
GRAND CROSSING,Grand Crossing  #6 - High,west side of parking lot,7655 S INGLESIDE AVE,2.0,2017-04-20,,,,,,,,,4.87,,,Passed testing - returned to normal push-button operation,O
GRAND CROSSING,Grand Crossing  #6 - Low,west side of parking lot,7655 S INGLESIDE AVE,2.0,2017-04-20,,,,,,,,,4.14,,,Passed testing - returned to normal push-button operation,O
GRAND CROSSING,Grand Crossing  #7 - High,"west door to fieldhouse,  east of playground",7655 S INGLESIDE AVE,2.0,2017-04-20,,,,,,,,,10.1,,,Passed testing - returned to normal push-button operation,O
GRAND CROSSING,Grand Crossing  #7 - Low,"west door to fieldhouse,  east of playground",7655 S INGLESIDE AVE,3.68,2017-04-20,,,,,,,,,6.18,,,Passed testing - returned to normal push-button operation,O
GRAND CROSSING,Grand Crossing  #8 - High,pook deck,7655 S INGLESIDE AVE,,,,,,,,,,,,,,Inactive. Major repair needed,O
GRAND CROSSING,Grand Crossing  #8 - Low,pook deck,7655 S INGLESIDE AVE,,,,,,,,,,,,,,Inactive. Major repair needed,O
GRANT (ULYSSES),Grant  #1,on path near 10-mile marker,331 E RANDOLPH ST,2.0,2017-04-04,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #2,randolph comfort station,331 E RANDOLPH ST,2.0,2017-04-04,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #3,north side - butler field,331 E RANDOLPH ST,2.0,2017-04-04,,,,,,,,,4.3,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #4 - High,"east of lsd at jackson, middle path",331 E RANDOLPH ST,2.0,2017-04-04,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #4 - Low,"east of lsd at jackson, middle path",331 E RANDOLPH ST,2.0,2017-04-04,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #5 - Main Fountain,east side of butler field,331 E RANDOLPH ST,2.0,2017-04-04,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #5 - Trough-5A,east side of butler field,331 E RANDOLPH ST,2.0,2017-04-26,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #5 - Trough-5B,east side of butler field,331 E RANDOLPH ST,2.0,2017-04-26,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #5 - Trough-5C,east side of butler field,331 E RANDOLPH ST,2.0,2017-04-26,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #5 - Trough-5D,east side of butler field,331 E RANDOLPH ST,2.0,2017-04-26,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #6,west side of butler field,331 E RANDOLPH ST,2.0,2017-04-04,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #7,south side of butler field,331 E RANDOLPH ST,2.0,2017-04-04,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #8 - High,north east rose garden,331 E RANDOLPH ST,2.0,2017-04-10,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #8 - Low,north east rose garden,331 E RANDOLPH ST,2.0,2017-04-10,,,,,,,,,2.3,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #9 - High,northwest rose garden,331 E RANDOLPH ST,2.0,2017-04-10,,,,,,,,,11.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #9 - Low,northwest rose garden,331 E RANDOLPH ST,2.0,2017-04-10,,,,,,,,,5.4,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #10,north comfort men's room,331 E RANDOLPH ST,2.0,2017-04-04,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #11,north comfort women's room,331 E RANDOLPH ST,2.0,2017-04-04,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #12 - High,"northeast hedges, near crane girl",331 E RANDOLPH ST,,,,,,,,,,,,,,Inactive. Scheduled for removal,O
GRANT (ULYSSES),Grant  #12 - Low,"northeast hedges, near crane girl",331 E RANDOLPH ST,,,,,,,,,,,,,,Inactive. Scheduled for removal,O
GRANT (ULYSSES),Grant  #13 - High,north side - queen's landing,331 E RANDOLPH ST,2.01,2017-04-05,,,,,,,,,2.3,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #13 - Low,north side - queen's landing,331 E RANDOLPH ST,2.0,2017-04-05,,,,,,,,,2.4,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #14 - High,south side - queen's landing,331 E RANDOLPH ST,2.74,2017-04-05,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #14 - Low,south side - queen's landing,331 E RANDOLPH ST,2.96,2017-04-05,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #15 - High,northwest corner - dove girl,331 E RANDOLPH ST,2.0,2017-04-05,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #15 - Low,northwest corner - dove girl,331 E RANDOLPH ST,2.0,2017-04-05,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #16,south comfort station - women's room,331 E RANDOLPH ST,2.0,2017-04-05,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #17,south comfort station - men's room,331 E RANDOLPH ST,2.0,2017-04-05,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #18 - High,southwest rose garden,331 E RANDOLPH ST,2.0,2017-04-10,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #18 - Low,southwest rose garden,331 E RANDOLPH ST,2.0,2017-04-10,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #19 - High,southeast rose garden,331 E RANDOLPH ST,2.0,2017-04-08,,,,,,,,,2.7,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #19 - Low,southeast rose garden,331 E RANDOLPH ST,2.0,2017-04-08,,,,,,,,,7.4,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #20,michigan & harrison,331 E RANDOLPH ST,2.0,2017-04-05,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #21,michigan & balbo,331 E RANDOLPH ST,2.0,2017-04-05,,,,,,,,,11.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #22,upper hutchinson - north by balbo,331 E RANDOLPH ST,2.39,2017-04-05,,,122.0,2017-06-09,2.0,2017-07-20,,,1200.0,91.0,16.0,Continuous flow - To be assessed for repair/replacement/removal,O
GRANT (ULYSSES),Grant  #23,north lower hutchinson by balbo,331 E RANDOLPH ST,2.0,2017-04-04,,,33.1,2017-06-09,2.0,2017-07-20,,,80.0,24.0,2.0,Continuous flow - To be assessed for repair/replacement/removal,O
GRANT (ULYSSES),Grant  #24,lower hutchinson northeast stairs - base,331 E RANDOLPH ST,2.15,2017-04-04,,,60.9,2017-06-09,3.0,2017-07-20,,,81.0,57.0,12.0,Continuous flow - To be assessed for repair/replacement/removal,O
GRANT (ULYSSES),Grant  #25,lower hutchinson northeast stairs - top,331 E RANDOLPH ST,2.0,2017-04-05,,,,,,,,,2.2,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #26,northwest stair hutchinson base,331 E RANDOLPH ST,2.18,2017-04-04,,,1550.0,2017-06-09,2.0,2017-07-20,,,46.0,48.0,5.9,Continuous flow - To be assessed for repair/replacement/removal,O
GRANT (ULYSSES),Grant  #27 - High,"east of lsd , south of balbo - middle path",331 E RANDOLPH ST,2.0,2017-04-05,,,,,,,,,9.1,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #27 - Low,"east of lsd , south of balbo - middle path",331 E RANDOLPH ST,2.21,2017-04-05,,,,,,,,,10.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #28 - High,michigan & 8th,331 E RANDOLPH ST,47.4,2017-05-06,22.5,,11.1,2017-06-09,15.0,2017-07-20,,,69.0,84.0,50.0,Off. To be assessed for repair/replacement/removal,O
GRANT (ULYSSES),Grant  #28 - Low,michigan & 8th,331 E RANDOLPH ST,45.6,2017-05-06,5.9,,11.6,2017-06-09,,,,,75.0,84.0,44.0,Off. To be assessed for repair/replacement/removal,O
GRANT (ULYSSES),Grant  #29,upper hutchinson - southwest - near tennis courts,331 E RANDOLPH ST,,,,,,,,,,,,,,Inactive. Removed from service,O
GRANT (ULYSSES),Grant  #30 - High,michigan & 9th,331 E RANDOLPH ST,2.22,2017-04-06,,,,,,,,,5.8,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #30 - Low,michigan & 9th,331 E RANDOLPH ST,2.06,2017-04-06,,,,,,,,,5.5,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #31,lower hutchinson - southwest stair base,331 E RANDOLPH ST,2.0,2017-04-04,,,268.0,2017-06-09,4.0,2017-07-20,,,560.0,170.0,2000.0,Continuous flow - To be assessed for repair/replacement/removal,O
GRANT (ULYSSES),Grant  #32,lower hutchinson southeast stair base,331 E RANDOLPH ST,2.0,2017-04-04,,,,,,,,,5.4,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #33 - High,grand park dog park,331 E RANDOLPH ST,2.0,2017-04-04,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #33 - Low,grand park dog park,331 E RANDOLPH ST,2.0,2017-04-10,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #34,"columbus & 9th, west side, in front of service yard",331 E RANDOLPH ST,2.0,2017-04-05,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #35,east of lsd by concession stand on ledge - south monroe harbor,331 E RANDOLPH ST,2.0,2017-04-05,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #36 - High,behind 11th street comfort station,331 E RANDOLPH ST,2.0,2017-04-05,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #36 - Low,behind 11th street comfort station,331 E RANDOLPH ST,2.0,2017-04-05,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #37,hanging on 11th street comfort station,331 E RANDOLPH ST,2.0,2017-04-05,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #38 - High,rosenburg fountain,331 E RANDOLPH ST,2.0,2017-05-02,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #38 - Low,rosenburg fountain,331 E RANDOLPH ST,2.0,2017-05-02,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #39 - High,grant park skate park,331 E RANDOLPH ST,2.0,2017-05-02,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #39 - Low,grant park skate park,331 E RANDOLPH ST,2.0,2017-05-02,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #40 - High,west of lsd by underpass to campus,331 E RANDOLPH ST,2.0,2017-04-11,,,,,,,,,2.5,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #40 - Low,west of lsd by underpass to campus,331 E RANDOLPH ST,2.0,2017-04-11,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #41 - High,base of shedd ramp in bushes,331 E RANDOLPH ST,2.0,2017-04-11,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #41 - Low,base of shedd ramp in bushes,331 E RANDOLPH ST,2.0,2017-04-11,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #42 - High,front stair - base of field museum,331 E RANDOLPH ST,2.0,2017-04-11,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #42 - Low,front stair - base of field museum,331 E RANDOLPH ST,2.0,2017-04-11,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #43 - High,museum comfort station - hanging,331 E RANDOLPH ST,2.0,2017-04-11,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #43 - Low,museum comfort station - hanging,331 E RANDOLPH ST,2.0,2017-04-11,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #44 - High,museum comfort station,331 E RANDOLPH ST,2.0,2017-04-10,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #44 - Low,museum comfort station,331 E RANDOLPH ST,2.0,2017-04-10,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #45 - High,maggie daley - playground,331 E RANDOLPH ST,2.0,2017-06-22,,,,,,,,,,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #45 - Middle,maggie daley - playground,331 E RANDOLPH ST,2.0,2017-06-22,,,,,,,,,,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #45 - Low,maggie daley - playground,331 E RANDOLPH ST,2.0,2017-06-22,,,,,,,,,,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #46 - High,maggie daley - ice ribbon,331 E RANDOLPH ST,2.0,2017-06-22,,,,,,,,,,,,Passed testing - returned to normal push-button operation,O
GRANT (ULYSSES),Grant  #46 - Low,maggie daley - ice ribbon,331 E RANDOLPH ST,2.0,2017-06-22,,,,,,,,,,,,Passed testing - returned to normal push-button operation,O
GRAPE,Grape  #1,at entrance on avondale,2850 W AVONDALE AVE,4.52,2017-04-18,,,22.8,2017-06-26,,,,,21.1,26.0,87.0,Continuous flow - To be assessed for repair/replacement/removal,O
GRAVER (PHILIP),Graver  #1,northeast corner in field,1518 W 102ND PL,2.0,2017-06-03,,,8.54,2017-06-10,,,,,,,,Passed testing - returned to normal push-button operation,O
GRAVER (PHILIP),Graver  #2,north side of fieldhouse,1518 W 102ND PL,2.0,2017-04-15,,,2.0,2017-06-10,,,,,0.151,,,Passed testing - returned to normal push-button operation,O
GREEN (JEFFREY),Green  #1,north corner of park,6500 N ALGONQUIN AVE,7.53,2017-04-04,,,,,,,,,76.9,117.0,16.4,In flushing protocol - 2017 EPA Test pending,O
GREEN BRIAR,Green Briar  #1,"northwest, at corner of greenlake and washtenaw",2650 W PETERSON AVE,7.1,2017-04-13,,,32.6,2017-06-08,,,,,24.4,50.0,12.0,Continuous flow - To be assessed for repair/replacement/removal,O
GREEN BRIAR,Green Briar  #2,"on talman, left field of north diamond",2650 W PETERSON AVE,3.19,2017-04-13,,,22.6,2017-06-08,,,,,59.1,68.0,11.0,Continuous flow - To be assessed for repair/replacement/removal,O
GREEN BRIAR,Green Briar  #3,by spraypool,2650 W PETERSON AVE,2.0,2017-04-13,,,,,,,,,0.853,,,Passed testing - returned to normal push-button operation,O
GREENEBAUM (HENRY),Greenebaum  #1 - High,northeast corner of parking lot,4300 W WABANSIA AVE,2.0,2017-04-11,,,,,,,,,0.178,,,Passed testing - returned to normal push-button operation,O
GREENEBAUM (HENRY),Greenebaum  #1 - Low,northeast corner of parking lot,4300 W WABANSIA AVE,2.0,2017-04-11,,,,,,,,,0.178,,,Passed testing - returned to normal push-button operation,O
GREENEBAUM (HENRY),Greenebaum  #2 - High,"in playlot, north of wabansia",4300 W WABANSIA AVE,2.0,2017-04-11,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
GREENEBAUM (HENRY),Greenebaum  #2 - Middle,"in playlot, north of wabansia",4300 W WABANSIA AVE,2.0,2017-04-11,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
GREENEBAUM (HENRY),Greenebaum  #2 - Low,"in playlot, north of wabansia",4300 W WABANSIA AVE,2.0,2017-04-11,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
GRIFFIN (MARION MAHONY),Griffin  #1,south of jarvis parking lot,1234 W JARVIS AVE,10.5,2017-04-15,,,115.0,2017-06-03,3.0,2017-07-20,,,16.0,11.0,10.0,Continuous flow - To be assessed for repair/replacement/removal,O
GROSS (THEODORE),Gross  #1 - High,at entrance on lawrence,2708 W LAWRENCE AVE,5.87,2017-04-15,,,14.3,2017-07-20,,,,,34.3,35.0,14.0,Passed testing - returned to normal push-button operation,O
GROSS (THEODORE),Gross  #1 - Low,at entrance on lawrence,2708 W LAWRENCE AVE,5.96,2017-04-15,,,12.9,2017-07-20,,,,,34.4,27.0,11.0,Passed testing - returned to normal push-button operation,O
HAAS (JOSEPH),Haas  #1 - High,playground,2402 N WASHTENAW AVE,2.0,2017-04-24,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
HAAS (JOSEPH),Haas  #1 - Middle,playground,2402 N WASHTENAW AVE,2.0,2017-04-24,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
HAAS (JOSEPH),Haas  #1 - Low,playground,2402 N WASHTENAW AVE,2.0,2017-04-24,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
HALE (NATHAN),Hale  #1 - High,on pool deck,6258 W 62ND ST,2.0,2017-04-03,,,,,,,,,0.774,,,Passed testing - returned to normal push-button operation,O
HALE (NATHAN),Hale  #1 - Low,on pool deck,6258 W 62ND ST,2.0,2017-04-03,,,,,,,,,0.65,,,Passed testing - returned to normal push-button operation,O
HALE (NATHAN),Hale  #2,"south of tennis courts, on mulligan",6258 W 62ND ST,10.4,2017-04-12,,,32.8,2017-06-28,,,,,44.7,33.8,28.1,Continuous flow - To be assessed for repair/replacement/removal,O
HALE (NATHAN),Hale  #3 - High,"south of fieldhouse, on path",6258 W 62ND ST,2.0,2017-04-03,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
HALE (NATHAN),Hale  #3 - Low,"south of fieldhouse, on path",6258 W 62ND ST,2.0,2017-04-03,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
HALE (NATHAN),Hale  #4,"south side of park, between south diamonds",6258 W 62ND ST,2.0,2017-04-12,,,,,,,,,0.268,,,Passed testing - returned to normal push-button operation,O
HAMILTON (ALEXANDER),Hamilton  #1,"west side of fieldhouse, on path",513 W 72ND ST,5.41,2017-04-06,,,,,,,,,8.49,,,Passed testing - returned to normal push-button operation,O
HAMILTON (ALEXANDER),Hamilton  #2 - High,south side of playground,513 W 72ND ST,2.0,2017-04-06,,,,,,,,,0.137,,,Passed testing - returned to normal push-button operation,O
HAMILTON (ALEXANDER),Hamilton  #2 - Middle,south side of playground,513 W 72ND ST,2.0,2017-04-06,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
HAMILTON (ALEXANDER),Hamilton  #2 - Low,south side of playground,513 W 72ND ST,2.0,2017-04-06,,,,,,,,,0.906,,,Passed testing - returned to normal push-button operation,O
HAMILTON (ALEXANDER),Hamilton  #3 - High,pool deck,513 W 72ND ST,2.0,2017-04-06,,,,,,,,,1.95,,,Passed testing - returned to normal push-button operation,O
HAMILTON (ALEXANDER),Hamilton  #3 - Low,pool deck,513 W 72ND ST,2.0,2017-04-06,,,,,,,,,1.35,,,Passed testing - returned to normal push-button operation,O
HAMILTON (ALEXANDER),Hamilton  #4,"southeast corner, on central walking path",513 W 72ND ST,,,,,,,,,,,,,,Inactive. Broken service,O
HAMLIN (HANNIBAL),Hamlin  #1,playground,3035 N HOYNE AVE,5.08,2017-04-27,,,17.2,2017-08-04,,,,,72.0,60.0,17.0,Continuous flow - To be assessed for repair/replacement/removal,O
HAMLIN (HANNIBAL),Hamlin  #2,pool deck,3035 N HOYNE AVE,2.0,2017-04-27,,,,,,,,,48.0,190.0,7.2,In flushing protocol - 2017 EPA Test pending,O
HAMLIN (HANNIBAL),Hamlin  #3,basketball court,3035 N HOYNE AVE,2.0,2017-04-27,,,,,,,,,4.4,,,Passed testing - returned to normal push-button operation,O
HAMLIN (HANNIBAL),Hamlin  #4,at damen and nelson,3035 N HOYNE AVE,2.0,2017-04-27,,,,,,,,,41.0,32.0,2.0,In flushing protocol - 2017 EPA Test pending,O
HANSBERRY (LORRAINE),Hansberry #1 - High,at entrance on indiana,5635 S INDIANA AVE,2.0,2017-04-12,,,2.0,2017-08-01,,,,,7.42,,,Passed testing - returned to normal push-button operation,O
HANSBERRY (LORRAINE),Hansberry #1 - Low,at entrance on indiana,5635 S INDIANA AVE,2.0,2017-04-12,,,2.0,2017-08-01,,,,,,,,Passed testing - returned to normal push-button operation,O
HARDING (FREDERICK),Harding (Frederick)  #1,near playground by harding entrance,3921 W DIVISION ST,2.0,2017-04-08,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
HARDING (GEORGE),Harding (George)  #1,"center of park, between playground and courts",4912 S CALUMET AVE,7.34,2017-04-27,,,,,,,,,3.1,,,Passed testing - returned to normal push-button operation,O
HARRIS (RYAN) MEMORIAL,Harris Meml.  #1 - High,at playground,6701 S LOWE AVE,2.0,2017-04-06,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
HARRIS (RYAN) MEMORIAL,Harris Meml.  #1 - Low,at playground,6701 S LOWE AVE,2.0,2017-04-06,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
HARRISON (CARTER),Harrison  #1 - High,northwest of comfort station at wolcott,1824 S WOOD ST,2.0,2017-04-11,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
HARRISON (CARTER),Harrison  #1 - Low,northwest of comfort station at wolcott,1824 S WOOD ST,2.0,2017-04-11,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
HARRISON (CARTER),Harrison #2 - High,entrance to playlot,1824 S WOOD ST,2.0,2017-04-11,,,2.0,2017-05-23,,,,,,,,Passed testing - returned to normal push-button operation,O
HARRISON (CARTER),Harrison #2 - Low,entrance to playlot,,2.0,2017-04-27,,,2.0,2017-05-23,,,,,,,,Passed testing - returned to normal push-button operation,O
HARRISON (CARTER),Harrison  #3,60' east of damen on 19th,1824 S WOOD ST,2.0,2017-04-11,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
HARSH (VIVIAN G.),Harsh  #1 - High,"park entrance, in front of playground",4464 S OAKENWALD AVE,2.0,2017-04-28,,,2.0,2017-08-09,,,,,,,,Passed testing - returned to normal push-button operation,O
HARSH (VIVIAN G.),Harsh  #1 - Low,"park entrance, in front of playground",4464 S OAKENWALD AVE,2.0,2017-04-28,,,2.0,2017-08-09,,,,,,,,Passed testing - returned to normal push-button operation,O
HARTIGAN (DAVID) BEACH,Hartigan Beach  #1,"south of albion, northeast of playground",1040 W ALBION AVE,2.0,2017-04-22,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
HARTIGAN (DAVID) BEACH,Hartigan Beach  #2 - High,"north of albion, on path",1040 W ALBION AVE,2.0,2017-04-22,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
HARTIGAN (DAVID) BEACH,Hartigan Beach  #2 - Low,"north of albion, on path",1040 W ALBION AVE,2.0,2017-04-22,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
