park_name,fountain_number,location_description,status,
CORNELL (PAUL) SQUARE,Cornell (Paul) Square #3,BY SPRAYPOOL,Passed testing - returned to normal push-button operation,
CORNELL (PAUL) SQUARE,Cornell (Paul) Square #4,SOUTHWEST CORNER,Passed testing - returned to normal push-button operation,
COSME (MARGARET),Cosme (Margaret) #1,BY BALL DIAMOND,Passed testing - returned to normal push-button operation,
COSME (MARGARET),Cosme (Margaret) #2,SOUTH OF TENNIS COURT,Passed testing - returned to normal push-button operation,
COTTON TAIL,Cotton Tail #1,FEDERAL ENTRANCE,Passed testing - returned to normal push-button operation,
COTTON TAIL,Cotton Tail #2,PLYMOUTH ENTRANCE,Passed testing - returned to normal push-button operation,
COTTON TAIL,Cotton Tail #3,PLAYGROUND NEXT TO SANDBOX,Passed testing - returned to normal push-button operation,
COTTONWOOD,Cottonwood #1,NEAR PARK ENTRANCE ON WEST END AND LECLAIRE,Inactive - Vandalized,
CRAGIN,Cragin #1,WEST SIDE OF PARK BEHIND FIELDHOUSE,Passed testing - returned to normal push-button operation,
CRAGIN,Cragin #2,WEST OF TENNIS COURT NEAR WRIGHTWOOD,Passed testing - returned to normal push-button operation,
CRAWFORD (PETER),Crawford (Peter) #1,NEAR ENTRANCE,Passed testing - returned to normal push-button operation,
CRESCENT,Crescent #1,WEST OF TENNIS COURTS,Passed testing - returned to normal push-button operation,
DALEY (RICHARD J.),Daley (Richard J.) #1,"NORTH SIDE OF PARK, 150' EAST OF BOAT RAMP",Passed testing - returned to normal push-button operation,
DAVIS (DR. NATHAN) SQUARE,Davis (Dr. Nathan) Square #1,POOL DECK,Passed testing - returned to normal push-button operation,
DAVIS (DR. NATHAN) SQUARE,Davis (Dr. Nathan) Square #2,"NEAR BALLFIELD, IN FRONT OF FIELDHOUSE",Passed testing - returned to normal push-button operation,
DAVIS (DR. NATHAN) SQUARE,Davis (Dr. Nathan) Square #3,PLAYLOT,Passed testing - returned to normal push-button operation,
DAVIS (MARGARET),Davis (Margaret) #1,INSIDE PARK ENTRANCE,Passed testing - returned to normal push-button operation,
DAWES (CHARLES G.),Dawes (Charles G.) #1,81ST AND DAMEN ENTRANCE,Passed testing - returned to normal push-button operation,
DAWES (CHARLES G.),Dawes (Charles G.) #2,"AT HOYNE, SOUTH CUL-DE-SAC",Passed testing - returned to normal push-button operation,
DE BURGOS (JULIA),De Burgos (Julia) #1,NORTHWEST CORNER OF PARK,Passed testing - returned to normal push-button operation,
DEAN (JOHN),Dean (John) #1,NORTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
DEARBORN (HENRY),Dearborn (Henry) #1,PARK TERRACE - MIDDLE OF PARK,Continuous flow - To be assessed for repair/replacement/removal,
DEARBORN (HENRY),Dearborn (Henry) #2,"SOUTHEAST CORNER OF PARK, NEAR 9TH AND PLYMOUTH",Continuous flow - To be assessed for repair/replacement/removal,
DEBOW (RUSSELL),Debow (Russell) #1,AT ENTRANCE ON 80TH,Continuous flow - To be assessed for repair/replacement/removal,
DEJULIO (ANTHONY),DeJulio (Anthony) #1,EAST OF PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
D'ELIA (AILEEN),D'Elia (Aileen) #1,AT ENTRANCE ON LAKEWOOD,Passed testing - returned to normal push-button operation,
DICKINSON (ARTHUR),Dickinson (Arthur) #1,NORTH SIDE OF PLAYGROUN,Passed testing - returned to normal push-button operation,
DIXON (LORRAINE),Dixon (Lorraine) #1,NORTH OF 88TH,Passed testing - returned to normal push-button operation,
DOGWOOD,Dogwood #1,WEST OF PARK ENTRANCE,Passed testing - returned to normal push-button operation,
DONAHUE (MARGARET),Donahue (Margaret) #1,CENTER OF PARK,Passed testing - returned to normal push-button operation,
DONOVAN (GEORGE),Donovan (George) #1,WEST OF FIELDHOUSE,Continuous flow - To be assessed for repair/replacement/removal,
DOUGHERTY (DANIEL),Dougherty (Daniel) #1,"ON KINGSTON, BETWEEN DIAMONDS",Passed testing - returned to normal push-button operation,
DOUGLAS (STEPHEN),Douglas (Stephen) #1,"188' SOUTH OF ROOSEVELT, 168' EAST OF ALBANY",Continuous flow - To be assessed for repair/replacement/removal,
DOUGLAS (STEPHEN),Douglas (Stephen) #2,"140' EAST OF ALBANY, 38' NORTH OF DOUGLAS",Passed testing - returned to normal push-button operation,
DOUGLAS (STEPHEN),Douglas (Stephen) #3,"SWIMMING POOL DECK, 60' WEST OF EAST POOL FENCE",Passed testing - returned to normal push-button operation,
DOUGLAS (STEPHEN),Douglas (Stephen) #4,"14TH STREET PLAYGROUND, 172' WEST OF CALIFORNIA, 162' SOUTH OF WALKING PATH",Passed testing - returned to normal push-button operation,
DOUGLAS (STEPHEN),Douglas (Stephen) #5,"15TH STREET PLAYGROUND, 120' EAST OF ALBANY, 200' SOUTH OF DOUGLAS",Passed testing - returned to normal push-button operation,
DOUGLAS (STEPHEN),Douglas (Stephen) #6,"WEST OF LILLY POND, 180' SOUTH OF OGDEN, EAST OF PERGOLA",Passed testing - returned to normal push-button operation,
DOUGLAS (STEPHEN),Douglas (Stephen) #7,"108' WEST OF CALIFORNIA, 40' SOUTH OF 16TH STREET",Passed testing - returned to normal push-button operation,
DOUGLAS (STEPHEN),Douglas (Stephen) #8,"104' WEST OF CALIFORNIA, 16' NORTH OF 18TH STREET",Passed testing - returned to normal push-button operation,
DOUGLAS (STEPHEN),Douglas (Stephen) #9,"36' EAST OF SACREMENTO, EAST OF TURF FOOTBALL FIELD",Continuous flow - To be assessed for repair/replacement/removal,
DOUGLAS (STEPHEN),Douglas (Stephen) #10,SOUTH OF FOOTBALL FIELD COMFORT STATION,Passed testing - returned to normal push-button operation,
DREXEL (FRANCIS),Drexel (Francis) #1,"69TH PL AND DAMEN, ENTRANCE",Passed testing - returned to normal push-button operation,
DUBKIN (LEONARD),Dubkin (Leonard) #1,CENTER OF PARK,Passed testing - returned to normal push-button operation,
DUNBAR (PAUL LAURENCE),Dunbar (Paul Laurence) #1,NORTHWEST CORNER OF PARK,Continuous flow - To be assessed for repair/replacement/removal,
DUNBAR (PAUL LAURENCE),Dunbar (Paul Laurence) #2,NORTHEAST CORNER OF PARK,Passed testing - returned to normal push-button operation,
DUNBAR (PAUL LAURENCE),Dunbar (Paul Laurence) #3,NORTHWEST CORNER OF BASKETBALL COURT,Passed testing - returned to normal push-button operation,
DUNBAR (PAUL LAURENCE),Dunbar (Paul Laurence) #4,"ON RUNNING TRACK, SOUTHEAST CORNER OF PARK",Passed testing - returned to normal push-button operation,
DUNBAR (PAUL LAURENCE),Dunbar (Paul Laurence) #5,"IN PLAYGROUND AREA, SOUTHWEST CORNER OF PARK",Passed testing - returned to normal push-button operation,
DUNHAM (ROBERT),Dunham (Robert) #1,"WEST END OF PARK, ON SIDEWALK ON GIDDINGS",Passed testing - returned to normal push-button operation,
DUNHAM (ROBERT),Dunham (Robert) #2,EAST PATH ON GIDDINGS,Continuous flow - To be assessed for repair/replacement/removal,
DUNHAM (ROBERT),Dunham (Robert) #3,IN PLAYGROUND,Passed testing - returned to normal push-button operation,
DURKIN (MARTIN),Durkin (Martin) #1,SOUTHWEST CORNER OF ROLLER HOCKEY,Inactive. Repair scheudled ,
DURKIN (MARTIN),Durkin (Martin) #2,"WEST SIDE OF PARK, ON PATH, BETWEEN DIAMONDS",Passed testing - returned to normal push-button operation,
DURKIN (MARTIN),Durkin (Martin) #3,"NORTH OF WORKOUT STATION, ON PATH",Passed testing - returned to normal push-button operation,
DURSO (JOHN),Durso (John) #1,"SOUTH OF PLAYGROUND, NEAR HUDSON AND CHESTNUT",Continuous flow - To be assessed for repair/replacement/removal,
DVORAK (ANTON),Dvorak (Anton) #1,SOUTHWEST CORNER OF MAIN FIELDHOUSE,Passed testing - returned to normal push-button operation,
DVORAK (ANTON),Dvorak (Anton) #2,SOUTHEAST CORNER OF MAIN FIELDHOUSE,Passed testing - returned to normal push-button operation,
DVORAK (ANTON),Dvorak (Anton) #3,ON POOL DECK,Continuous flow - To be assessed for repair/replacement/removal,
DVORAK (ANTON),Dvorak (Anton) #4,"INTERACTIVE SPRAY POOL AREA, NEXT TO POOL FILTER ROOM, NORTH SIDE OF BUILDING",Passed testing - returned to normal push-button operation,
DVORAK (ANTON),Dvorak (Anton) #5,"NEWER SOUTH END OF PARK, JUST EAST OF CANOPY AREA, SOUTH OF WALKING TRACK",Passed testing - returned to normal push-button operation,
ECKERSALL (WALTER HERBERT),Eckersall (Walter Herbert) #1,"ON 82ND, AT PHILLIPS, ",Passed testing - returned to normal push-button operation,
ECKHART (BERNARD),Eckhart (Bernard) #1,CORNER OF NOBLE AND CHESTNUT,Passed testing - returned to normal push-button operation,
ECKHART (BERNARD),Eckhart (Bernard) #2,"NORTH OF CHICAGO, WEST OF ELIZABETH",Passed testing - returned to normal push-button operation,
EDGEBROOK,Edgebrook #1,"ON IONIA, NEAR BASEBALL STORAGE SHED",Passed testing - returned to normal push-button operation,
EDMONDS (MOLLY),Edmonds (Molly) #1,AT PARK ENTRANCE ON 60TH PL,Passed testing - returned to normal push-button operation,
EHRLER (WILLIAM),Ehrler (William) #1,NORTH SIDE OF PLAYGROUND,Passed testing - returned to normal push-button operation,
ELLIS (SAMUEL),Ellis (Samuel) #1,"BEHIND CHURCH, NORTH END OF PARK",Continuous flow - To be assessed for repair/replacement/removal,
ELLIS (SAMUEL),Ellis (Samuel) #2,"BETWEEN BASEBALL DIAMONS, SOUTH END OF PARK",Off. To be assessed for repair/replacement/removal,
ELM,Elm #1,ON WOODLAWN,Passed testing - returned to normal push-button operation,
EMERALD,Emerald #1,AT ENTRANCE,Continuous flow - To be assessed for repair/replacement/removal,
EMMERSON (LOUIS),Emmerson (Louis) #1,NORTHEAST CORNER OF BASKETBALL COURT,Continuous flow - To be assessed for repair/replacement/removal,
ESSEX,Essex #1,CENTER OF PARK,Passed testing - returned to normal push-button operation,
EUCLID,Euclid #1,"THIRD BASELINE OF NORTHWEST BASEBALL DIAMOND, ON PARNELL",Passed testing - returned to normal push-button operation,
EUCLID,Euclid #2,NORTH EAST CORNER OF BASKETBALL COURTS,Passed testing - returned to normal push-button operation,
EUCLID,Euclid #3,WEST OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
FELLGER (CHARLES),Fellger (Charles) #1,NEAR ENTRANCE ON DAMEN,Passed testing - returned to normal push-button operation,
FERNWOOD,Fernwood #1,NORTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
FERNWOOD,Fernwood #2,"NORTH OF TENNIS COURTS, AT 105TH ON PATH",Passed testing - returned to normal push-button operation,
FIELD (EUGENE),Field (Eugene) #1,BY SPRAYPOOL AND PLAYGROUND,Passed testing - returned to normal push-button operation,
FIELD (EUGENE),Field (Eugene) #2,BASKETBALL COURT,Passed testing - returned to normal push-button operation,
FIELD (EUGENE),Field (Eugene) #3,NORTH OF RIVER BY BASEBALL DIAMOND,Passed testing - returned to normal push-button operation,
FIELD (EUGENE),Field (Eugene) #4,"ON TURN AROUND, ACROSS FROM FIELDHOUSE",Passed testing - returned to normal push-button operation,
FILBERT,Filbert #1,NORTH SIDE OF PARK,Passed testing - returned to normal push-button operation,
FLOWER (LUCY),Flower (Lucy) #1,NEAR ENTRANCE ON MOFFAT,Passed testing - returned to normal push-button operation,
FLYING SQUIRREL,Flying Squirrel #1,CORNER OF MARQUETTE AND WOODLAWN,Passed testing - returned to normal push-button operation,
FOREST GLEN,Forest Glen #1,"AT NORTH ENTRANCE, ON BERWYN",Passed testing - returned to normal push-button operation,
FOSCO (PETER),Fosco (Peter) #1,"WEST SIDE OF FIELD HOUSE, IN PLAYLOT, AT GATE TO SPRAY FEATURE",Passed testing - returned to normal push-button operation,
FOSCO (PETER),Fosco (Peter) #2,"SOUTH OF FIELDHOUSE, 30' SOUTH OF HASTINGS, 100' EAST OF LYTLE",Passed testing - returned to normal push-button operation,
FOSTER (J. FRANK),Foster (J. Frank) #1,BETWEEN PLAYGROUND AND SPRAYPOOL,Passed testing - returned to normal push-button operation,
FOSTER (J. FRANK),Foster (J. Frank) #2,"EAST OF FIELDHOUSE, ON PATH, NEAR TRACK",Passed testing - returned to normal push-button operation,
FOSTER (J. FRANK),Foster (J. Frank) #3,WEST OF EAST TENNIS COURTS,Continuous flow - To be assessed for repair/replacement/removal,
FOSTER (J. FRANK),Foster (J. Frank) #4,"WEST SIDE OF PARK, BETWEEN TWO SOUTHWEST DIAMONDS, ON PATH",Passed testing - returned to normal push-button operation,
FOSTER (J. FRANK),Foster (J. Frank) #5,"EAST SIDE OF PARK, BETWEEN TWO SOUTHEAST DIAMONDS, ON PATH",Passed testing - returned to normal push-button operation,
FOSTER (J. FRANK),Foster (J. Frank) #6,SPRAYPOOL,Passed testing - returned to normal push-button operation,
FRANKLIN (BENJAMIN),Franklin (Benjamin) #1,ON POOL DECK,Passed testing - returned to normal push-button operation,
FRANKLIN (BENJAMIN),Franklin (Benjamin) #2,NEAR SPRAY POOL,Passed testing - returned to normal push-button operation,
FRANKLIN (BENJAMIN),Franklin (Benjamin) #3,NEAR BASEBALL DIAMOND #1,Passed testing - returned to normal push-button operation,
FRANKLIN (BENJAMIN),Franklin (Benjamin) #4,NEAR SOUTH ENTRANCE,Continuous flow - To be assessed for repair/replacement/removal,
FULLER (MELVILLE),Fuller (Melville) #1,NEAR SPRAY POOL,Continuous flow - To be assessed for repair/replacement/removal,
FULLER (MELVILLE),Fuller (Melville) #2,NEAR BASKETBALL COURTS,Passed testing - returned to normal push-button operation,
FULLER (MELVILLE),Fuller (Melville) #3,SOUTHEAST OF FIELD HOUSE,Passed testing - returned to normal push-button operation,
FULLER (MELVILLE),Fuller (Melville) #4,OUTSIDE OF FILTER ROOM,Passed testing - returned to normal push-button operation,
FULLER (MELVILLE),Fuller (Melville) #5,ON POOL DECK,Passed testing - returned to normal push-button operation,
GAGE (GEORGE),Gage (George) #1,"RIGHT FIELD OF NORTH SENIOR DIAMOND, 54TH AND ARTESIAN",Passed testing - returned to normal push-button operation,
GAGE (GEORGE),Gage (George) #2,"NORTHEAST CORNER OF TENNIS COURTS, ON PATH",Passed testing - returned to normal push-button operation,
GAGE (GEORGE),Gage (George) #3,"SOUTHWEST CORNER OF PARK, AT 56TH AND MAPLEWOOD",Passed testing - returned to normal push-button operation,
GAGE (GEORGE),Gage (George) #4,NORTHWEST CORNER OF GARDENING YARD,Continuous flow - To be assessed for repair/replacement/removal,
GAGE (GEORGE),Gage (George) #5,"WEST OF PLAYGROUND, ON PATH",Passed testing - returned to normal push-button operation,
GAGE (GEORGE),Gage (George) #6,"SOUTH OF FIELDHOUSE, ON TRACK",Passed testing - returned to normal push-button operation,
GAGE (GEORGE),Gage (George) #7,POOL DECK,In flushing protocol - 2017 EPA Test pending,
GALEWOOD,Galewood #1,SOUTHWEST CORNER OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
GARFIELD (JAMES),Garfield (James) #1,ACROSS CENTRAL PARK FROM CONSERVATORY,Passed testing - returned to normal push-button operation,
GARFIELD (JAMES),Garfield (James) #2,"380' EAST OF HAMLIN, 160' SOUTH OF LAKE",Passed testing - returned to normal push-button operation,
GARFIELD (JAMES),Garfield (James) #3,"AT PLAYGROUND, 230' SOUTH OF LAKE, 121' WEST OF HOMAN",Passed testing - returned to normal push-button operation,
GARFIELD (JAMES),Garfield (James) #4,"AT BASKETBALL COURT, SOUTH OF SCHRAEDER, WEST OF CENTRAL PARK",Passed testing - returned to normal push-button operation,
GARFIELD (JAMES),Garfield (James) #5,ON POOL DECK,Passed testing - returned to normal push-button operation,
GARFIELD (JAMES),Garfield (James) #6,"AT PLAYGROUND, 190' WEST OF HOMAN, 70' SOUTH OF WARREN",Passed testing - returned to normal push-button operation,
GARFIELD (JAMES),Garfield (James) #7,"EAST OF BAND STAND, 297' SOUTH OF MADISON, 185' WEST OF CENTRAL PARK",Passed testing - returned to normal push-button operation,
GARFIELD (JAMES),Garfield (James) #8,"IN FIELD SOUTH OF MUSIC COURT, 256' ALONG THE PATH ",Passed testing - returned to normal push-button operation,
GARFIELD (JAMES),Garfield (James) #9,"IN FIELD SOUTH OF MUSIC COURT, 450' ALONG THE PATH ",Passed testing - returned to normal push-button operation,
GARFIELD (JAMES),Garfield (James) #10,"60' SOUTH OF JACKSON, 28' EAST OF HAMLIN",Passed testing - returned to normal push-button operation,
GARFIELD (JAMES),Garfield (James) #11,"SOUTHERN END OF PARK, 183' NORTH OF CONGRESS, 10' EAST OF HAMLIN",Passed testing - returned to normal push-button operation,
GARIBALDI (GIUSEPPI),Garibaldi (Giuseppi) #1,"SOUTH OF PLAYLOT, 40' EAST OF POLK ENTRANCE",Passed testing - returned to normal push-button operation,
GATELY (JAMES),Gately (James) #1,"ON PATH, CENTER-WEST",Passed testing - returned to normal push-button operation,
GATELY (JAMES),Gately (James) #2,"BASKETBALL COURT, NORTHWEST CORNER OF STADIUM",Passed testing - returned to normal push-button operation,
GILL (JOSEPH),Gill (Joseph) #1,THIRD BASE LINE OF DIAMOND,In flushing protocol - 2017 EPA Test pending,
GINKGO,Ginkgo #1,NEAR ENTRANCE,Passed testing - returned to normal push-button operation,
GLADSTONE (WILLIAM),Gladstone (William) #1,"NORTH OF FIELDHOUSE, ON MAGNET",Continuous flow - To be assessed for repair/replacement/removal,
GLADYS (GUNDERSON),Gladys (Gunderson) #1,SOUTHWEST CORNER,Passed testing - returned to normal push-button operation,
GOLDBERG (LOUIS),Goldberg (Louis) #1,AT ENTRANCE ON GREENLEAF,Continuous flow - To be assessed for repair/replacement/removal,
GOLDEN GATE,Golden Gate #1,WEST OF PLAYGROUND,Passed testing - returned to normal push-button operation,
GOMPERS (SAMUEL),Gompers (Samuel) #1,"LEFT FIELD OF JUNIOR DIAMOND 2, NEAR SPORT ROLLER COURT",Continuous flow - To be assessed for repair/replacement/removal,
GOMPERS (SAMUEL),Gompers (Samuel) #2,NORTH OF KILDARE ENTRANCE ON FOSTER,Continuous flow - To be assessed for repair/replacement/removal,
GOMPERS (SAMUEL),Gompers (Samuel) #3,WEST OF PLAYGROUND,Passed testing - returned to normal push-button operation,
GOMPERS (SAMUEL),Gompers (Samuel) #4,POOL DECK,Continuous flow - To be assessed for repair/replacement/removal,
GOMPERS (SAMUEL),Gompers (Samuel) #5,"GOMPERS MONUMENT, AT FOSTER AND PULASKI",Passed testing - returned to normal push-button operation,
GOMPERS (SAMUEL),Gompers (Samuel) #6,"NORTH OF KEELER PARKING LOT, NEAR TENNIS COURTS",Passed testing - returned to normal push-button operation,
GOMPERS (SAMUEL),Gompers (Samuel) #7,"ON PATH, NORTH OF BASKETBALL COURT, SOUTH OF THE LAGOON",Passed testing - returned to normal push-button operation,
GOMPERS (SAMUEL),Gompers (Samuel) #8,"ON PATH, SOUTHEAST OF CASTING PIER",Continuous flow - To be assessed for repair/replacement/removal,
GOMPERS (SAMUEL),Gompers (Samuel) #9,"ON PATH, ACROSS LAGOON FROM CASTING PIER",Passed testing - returned to normal push-button operation,
GOOSEBERRY,Gooseberry #1,NEAR ENTRANCE ON MALDEN,In flushing protocol - 2017 EPA Test pending,
GOUDY (WILLIAM) SQUARE,Goudy (William) Square #1,CENTER OF PLAYGROUND,Passed testing - returned to normal push-button operation,
GRAND,Grand #1,NEAR PARK ENTRANCE ON GRAND,Continuous flow - To be assessed for repair/replacement/removal,
GRAND CROSSING,Grand Crossing #1,"EAST DOOR TO FIELDHOUSE, BY BASKETBALL COURT",Passed testing - returned to normal push-button operation,
GRAND CROSSING,Grand Crossing #2,NORTHEAST OF PARKING LOT,Passed testing - returned to normal push-button operation,
GRAND CROSSING,Grand Crossing #3,SOUTH OF TENNIS COURTS,Passed testing - returned to normal push-button operation,
GRAND CROSSING,Grand Crossing #4,"BETWEEN SOUTH BASEBALL DIAMONDS, IN FIELD, AT 78TH AND ELLIS",Passed testing - returned to normal push-button operation,
GRAND CROSSING,Grand Crossing #5,1ST BASELINE OF NW DIAMOND,Passed testing - returned to normal push-button operation,
GRAND CROSSING,Grand Crossing #6,WEST SIDE OF PARKING LOT,Passed testing - returned to normal push-button operation,
GRAND CROSSING,Grand Crossing #7,"WEST DOOR TO FIELDHOUSE,  EAST OF PLAYGROUND",Passed testing - returned to normal push-button operation,
GRAND CROSSING,Grand Crossing #8,POOK DECK,Inactive. Major repair needed,
GRANT (ULYSSES),Grant (Ulysses) #1,ON PATH NEAR 10-MILE MARKER,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #2,RANDOLPH COMFORT STATION,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #3,NORTH SIDE - BUTLER FIELD,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #4,"EAST OF LSD AT JACKSON, MIDDLE PATH",Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #5,EAST SIDE OF BUTLER FIELD,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #6,WEST SIDE OF BUTLER FIELD,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #7,SOUTH SIDE OF BUTLER FIELD,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #8,NORTH EAST ROSE GARDEN,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #9,NORTHWEST ROSE GARDEN,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #10,NORTH COMFORT MEN'S ROOM,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #11,NORTH COMFORT WOMEN'S ROOM,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #12,"NORTHEAST HEDGES, NEAR CRANE GIRL",Inactive. Scheduled for removal,
GRANT (ULYSSES),Grant (Ulysses) #13,NORTH SIDE - QUEEN'S LANDING,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #14,SOUTH SIDE - QUEEN'S LANDING,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #15,NORTHWEST CORNER - DOVE GIRL,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #16,SOUTH COMFORT STATION - WOMEN'S ROOM,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #17,SOUTH COMFORT STATION - MEN'S ROOM,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #18,SOUTHWEST ROSE GARDEN,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #19,SOUTHEAST ROSE GARDEN,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #20,MICHIGAN & HARRISON,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #21,MICHIGAN & BALBO,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #22,UPPER HUTCHINSON - NORTH BY BALBO,Continuous flow - To be assessed for repair/replacement/removal,
GRANT (ULYSSES),Grant (Ulysses) #23,NORTH LOWER HUTCHINSON BY BALBO,Continuous flow - To be assessed for repair/replacement/removal,
GRANT (ULYSSES),Grant (Ulysses) #24,LOWER HUTCHINSON NORTHEAST STAIRS - BASE,Continuous flow - To be assessed for repair/replacement/removal,
GRANT (ULYSSES),Grant (Ulysses) #25,LOWER HUTCHINSON NORTHEAST STAIRS - TOP,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #26,NORTHWEST STAIR HUTCHINSON BASE,Continuous flow - To be assessed for repair/replacement/removal,
GRANT (ULYSSES),Grant (Ulysses) #27,"EAST OF LSD , SOUTH OF BALBO - MIDDLE PATH",Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #28,MICHIGAN & 8TH,Off. To be assessed for repair/replacement/removal,
GRANT (ULYSSES),Grant (Ulysses) #29,UPPER HUTCHINSON - SOUTHWEST - NEAR TENNIS COURTS,Inactive. Removed from service,
GRANT (ULYSSES),Grant (Ulysses) #30,MICHIGAN & 9TH,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #31,LOWER HUTCHINSON - SOUTHWEST STAIR BASE,Continuous flow - To be assessed for repair/replacement/removal,
GRANT (ULYSSES),Grant (Ulysses) #32,LOWER HUTCHINSON SOUTHEAST STAIR BASE,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #33,GRAND PARK DOG PARK,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #34,"COLUMBUS & 9TH, WEST SIDE, IN FRONT OF SERVICE YARD",Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #35,EAST OF LSD BY CONCESSION STAND ON LEDGE - SOUTH MONROE HARBOR,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #36,BEHIND 11TH STREET COMFORT STATION,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #37,HANGING ON 11TH STREET COMFORT STATION,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #38,ROSENBURG FOUNTAIN,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #39,GRANT PARK SKATE PARK,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #40,WEST OF LSD BY UNDERPASS TO CAMPUS,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #41,BASE OF SHEDD RAMP IN BUSHES,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #42,FRONT STAIR - BASE OF FIELD MUSEUM,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #43,MUSEUM COMFORT STATION - HANGING,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #44,MUSEUM COMFORT STATION,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #45,MAGGIE DALEY - PLAYGROUND,Passed testing - returned to normal push-button operation,
GRANT (ULYSSES),Grant (Ulysses) #46,MAGGIE DALEY - ICE RIBBON,Passed testing - returned to normal push-button operation,
GRAPE,Grape #1,AT ENTRANCE ON AVONDALE,Continuous flow - To be assessed for repair/replacement/removal,
GRAVER (PHILIP),Graver (Philip) #1,NORTHEAST CORNER IN FIELD,Passed testing - returned to normal push-button operation,
GRAVER (PHILIP),Graver (Philip) #2,NORTH SIDE OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
GREEN (JEFFREY),Green (Jeffrey) #1,NORTH CORNER OF PARK,In flushing protocol - 2017 EPA Test pending,
GREEN BRIAR,Green Briar #1,"NORTHWEST, AT CORNER OF GREENLAKE AND WASHTENAW",Continuous flow - To be assessed for repair/replacement/removal,
GREEN BRIAR,Green Briar #2,"ON TALMAN, LEFT FIELD OF NORTH DIAMOND",Continuous flow - To be assessed for repair/replacement/removal,
GREEN BRIAR,Green Briar #3,BY SPRAYPOOL,Passed testing - returned to normal push-button operation,
GREENEBAUM (HENRY),Greenebaum (Henry) #1,NORTHEAST CORNER OF PARKING LOT,Passed testing - returned to normal push-button operation,
GREENEBAUM (HENRY),Greenebaum (Henry) #2,"IN PLAYLOT, NORTH OF WABANSIA",Passed testing - returned to normal push-button operation,
GRIFFIN (MARION MAHONY),Griffin (Marion Mahony) #1,SOUTH OF JARVIS PARKING LOT,Continuous flow - To be assessed for repair/replacement/removal,
GROSS (THEODORE),Gross (Theodore) #1,AT ENTRANCE ON LAWRENCE,Passed testing - returned to normal push-button operation,
HAAS (JOSEPH),Haas (Joseph) #1,PLAYGROUND,Passed testing - returned to normal push-button operation,
